#Objects,Save (ms),Load (ms)
10,0.0598149299622,0.00824594497681
100,0.00648999214172,0.00577998161316
1000,0.0184769630432,0.0125670433044
10000,0.0912020206451,0.0187950134277
100000,0.817003011703,0.146512985229
1000000,8.54097604752,1.55960512161
